"","year","retire_ben_term_est","AAL_term_current_est"
"1",2022,0,9443955800.00001
"2",2023,684307616.326706,9420725089.6733
"3",2024,684307616.326706,9395868229.62373
"4",2025,684307616.326706,9369271389.37069
"5",2026,684307616.326706,9340812770.29993
"6",2027,684307616.326706,9310362047.89422
"7",2028,684307616.326706,9277779774.92011
"8",2029,684307616.326706,9242916742.83781
"9",2030,684307616.326706,9205613298.50975
"10",2031,684307616.326706,9165698613.07873
"11",2032,684307616.326706,9122989899.66754
"12",2033,684307616.326706,9077291576.31756
"13",2034,684307616.326706,9028394370.33308
"14",2035,684307616.326706,8976074359.92969
"15",2036,684307616.326706,8920091948.79807
"16",2037,684307616.326706,8860190768.88723
"17",2038,684307616.326706,8796096506.38263
"18",2039,684307616.326706,8727515645.50271
"19",2040,684307616.326706,8654134124.36119
"20",2041,684307616.326706,8575615896.73977
"21",2042,684307616.326706,8491601393.18485
"22",2043,684307616.326706,8401705874.38108
"23",2044,684307616.326706,8305517669.26105
"24",2045,684307616.326706,8202596289.78262
"25",2046,684307616.326706,8092470413.7407
"26",2047,684307616.326706,7974635726.37584
"27",2048,684307616.326706,7848552610.89544
"28",2049,684307616.326706,7713643677.33142
"29",2050,684307616.326706,7569291118.41792
"30",2051,684307616.326706,7414833880.38046
"31",2052,684307616.326706,7249564635.68039
"32",2053,684307616.326706,7072726543.85131
"33",2054,684307616.326706,6883509785.5942
"34",2055,684307616.326706,6681047854.25909
"35",2056,684307616.326706,6464413587.73052
"36",2057,684307616.326706,6232614922.54495
"37",2058,684307616.326706,5984590350.79639
"38",2059,684307616.326706,5719204059.02543
"39",2060,684307616.326706,5435240726.83051
"40",2061,684307616.326706,5131399961.38194
"41",2062,684307616.326706,4806290342.35197
"42",2063,684307616.326706,4458423049.9899
"43",2064,684307616.326706,4086205047.16249
"44",2065,684307616.326706,3687931784.13715
"45",2066,684307616.326706,3261779392.70005
"46",2067,684307616.326706,2805796333.86235
"47",2068,684307616.326706,2317894460.90601
"48",2069,684307616.326706,1795839456.84272
"49",2070,684307616.326706,1237240602.49501
"50",2071,684307616.326706,639539828.34295
"51",2072,684307616.326706,0.000250935554504395
"52",2073,0,0.000268501043319702
"53",2074,0,0.000287296116352081
"54",2075,0,0.000307406844496727
"55",2076,0,0.000328925323611498
"56",2077,0,0.000351950096264303
"57",2078,0,0.000376586603002804
"58",2079,0,0.000402947665213
"59",2080,0,0.00043115400177791
"60",2081,0,0.000461334781902364
"61",2082,0,0.00049362821663553
"62",2083,0,0.000528182191800017
"63",2084,0,0.000565154945226018
"64",2085,0,0.000604715791391839
"65",2086,0,0.000647045896789268
"66",2087,0,0.000692339109564517
"67",2088,0,0.000740802847234033
"68",2089,0,0.000792659046540415
"69",2090,0,0.000848145179798245
"70",2091,0,0.000907515342384122
"71",2092,0,0.00097104141635101
"72",2093,0,0.00103901431549558
"73",2094,0,0.00111174531758027
"74",2095,0,0.00118956748981089
"75",2096,0,0.00127283721409765
"76",2097,0,0.00136193581908449
"77",2098,0,0.0014572713264204
"78",2099,0,0.00155928031926983
"79",2100,0,0.00166842994161872
"80",2101,0,0.00178522003753203
"81",2102,0,0.00191018544015927
"82",2103,0,0.00204389842097042
"83",2104,0,0.00218697131043835
"84",2105,0,0.00234005930216904
"85",2106,0,0.00250386345332087
"86",2107,0,0.00267913389505333
"87",2108,0,0.00286667326770706
"88",2109,0,0.00306734039644656
"89",2110,0,0.00328205422419782
"90",2111,0,0.00351179801989166
"91",2112,0,0.00375762388128408
"92",2113,0,0.00402065755297397
"93",2114,0,0.00430210358168214
"94",2115,0,0.0046032508323999
"95",2116,0,0.00492547839066789
"96",2117,0,0.00527026187801464
"97",2118,0,0.00563918020947567
"98",2119,0,0.00603392282413896
"99",2120,0,0.00645629742182869
"100",2121,0,0.0069082382413567
"101",2122,0,0.00739181491825167
